,Auvaursi_pipe-APW,Csericea_pipe-APW,Nattenuata_pipe-APW,Nquadrivalvis_pipe-APW,Nrustica_pipe-APW,Ntabacum_pipe-APW,Rglabra_pipe-APW,Tbrevifolia_pipe-APW,Blank_pipe-APW
shared,5,6,0,8,3,2,33,5,2
out of ,108,65,71,152,46,39,452,545,37
